test_type,timestamp,latency_ms,payload_size,success
websocket,7575.329932701,1.5620,39,True
websocket,7575.349885745,1.2714,39,True
websocket,7575.37041541,1.4096,39,True
websocket,7575.390801061,1.5157,39,True
websocket,7575.410824946,1.2055,39,True
websocket,7575.431088686,1.1669,39,True
websocket,7575.451612876,1.3909,39,True
websocket,7575.472250587,1.2653,39,True
websocket,7575.493000486,1.2687,39,True
websocket,7575.513309707,1.1721,39,True
websocket,7575.534409158,1.7307,39,True
websocket,7575.554594528,1.2869,39,True
websocket,7575.575508284,1.5123,39,True
websocket,7575.596398779,1.6595,39,True
websocket,7575.616429961,1.3783,39,True
websocket,7575.636643445,1.2760,39,True
websocket,7575.656920895,1.1456,39,True
websocket,7575.677505191,1.2754,39,True
websocket,7575.697759294,1.1459,39,True
websocket,7575.718718395,1.4169,39,True
websocket,7575.73987595,1.8590,39,True
websocket,7575.759888807,1.4539,39,True
websocket,7575.780038942,1.2218,39,True
websocket,7575.800347544,1.1443,39,True
websocket,7575.821173537,1.1839,39,True
websocket,7575.841990103,1.3476,39,True
websocket,7575.862831526,1.4933,39,True
websocket,7575.883308484,1.2923,39,True
websocket,7575.904228096,1.4761,39,True
websocket,7575.924721339,1.2477,39,True
websocket,7575.945404306,1.1566,39,True
websocket,7575.966209989,1.1734,39,True
websocket,7575.986709852,1.3576,39,True
websocket,7576.006861938,1.2617,39,True
websocket,7576.027138153,1.1892,39,True
websocket,7576.04795021,1.2415,39,True
websocket,7576.068404171,1.3547,39,True
websocket,7577.618607279,3.7649,39,True
websocket,7577.637219151,1.3218,39,True
websocket,7577.658001151,1.3711,39,True
websocket,7577.678951348,1.3108,39,True
websocket,7577.700302018,1.6655,39,True
websocket,7577.721074736,1.4635,39,True
websocket,7577.741966735,1.3594,39,True
websocket,7577.762879845,1.8023,39,True
websocket,7577.794298193,12.7174,39,True
websocket,7577.803082913,1.2080,39,True
websocket,7577.823552219,1.3137,39,True
websocket,7577.844267319,1.3171,39,True
websocket,7577.865416192,1.7213,39,True
websocket,7577.886092634,1.6932,39,True
websocket,7577.906553647,1.3729,39,True
websocket,7577.927363291,1.4531,39,True
websocket,7577.94807635,1.4971,39,True
websocket,7577.968727867,1.4254,39,True
websocket,7577.989726051,1.6797,39,True
websocket,7578.010002757,1.6714,39,True
websocket,7578.030423231,1.3076,39,True
websocket,7578.051188673,1.3408,39,True
websocket,7578.072256171,1.7398,39,True
websocket,7578.092739664,1.5104,39,True
websocket,7578.113358449,1.4439,39,True
websocket,7578.13394083,1.3496,39,True
websocket,7578.154242255,1.1796,39,True
websocket,7578.175009359,1.2081,39,True
websocket,7578.195684002,1.1781,39,True
websocket,7578.2167278,1.4827,39,True
websocket,7578.237206573,1.2806,39,True
websocket,7578.257815582,1.2039,39,True
websocket,7578.278726411,1.3910,39,True
websocket,7578.299249144,1.1685,39,True
websocket,7578.320049315,1.2264,39,True
websocket,7578.340835122,1.3071,39,True
websocket,7578.361404645,1.1642,39,True
websocket,7578.382191464,1.1671,39,True
websocket,7578.40274998,1.2589,39,True
websocket,7578.423586625,1.3587,39,True
websocket,7578.444629739,1.6581,39,True
websocket,7578.465062108,1.3624,39,True
websocket,7578.486009957,1.5782,39,True
websocket,7578.506760214,1.5925,39,True
websocket,7578.527217903,1.3285,39,True
websocket,7578.547923403,1.3469,39,True
websocket,7578.568755841,1.4555,39,True
websocket,7578.589184584,1.1594,39,True
websocket,7578.609997489,1.3446,39,True
websocket,7578.630604954,1.2259,39,True
websocket,7578.650920486,1.1639,39,True
websocket,7578.672071331,1.5832,39,True
websocket,7578.692879991,1.6590,39,True
websocket,7578.713322988,1.3629,39,True
websocket,7578.734344353,1.6169,39,True
websocket,7578.754869404,1.4970,39,True
websocket,7578.7762059,2.1030,39,True
websocket,7578.796426456,1.5940,39,True
websocket,7578.816795628,1.2363,39,True
websocket,7578.837821369,1.5111,39,True
websocket,7578.858222881,1.1784,39,True
websocket,7578.878890229,1.1510,39,True
websocket,7578.899631077,1.5908,39,True
websocket,7578.920291976,1.5063,39,True
websocket,7578.941230776,1.6351,39,True
websocket,7578.961446381,1.2288,39,True
websocket,7578.982717338,1.7512,39,True
websocket,7579.003017048,1.3572,39,True
websocket,7579.023581074,1.1829,39,True
websocket,7579.044568079,1.4243,39,True
websocket,7579.065125726,1.2562,39,True
websocket,7579.086212125,1.4048,39,True
websocket,7579.107152206,1.3359,39,True
websocket,7579.128312592,1.5250,39,True
websocket,7579.148282969,1.2381,39,True
websocket,7579.169629262,1.5304,39,True
websocket,7579.190141425,1.1974,39,True
websocket,7579.211080573,1.2001,39,True
websocket,7579.232191072,1.2731,39,True
websocket,7579.2531441,1.2306,39,True
websocket,7579.274304099,1.4576,39,True
websocket,7579.295005394,1.1914,39,True
websocket,7579.316542328,1.7316,39,True
websocket,7579.337014427,1.2393,39,True
websocket,7579.358251248,1.5052,39,True
